text_fi,text_sv
Tuomioistuimen lupa lapsen tutkimiseen,Domstolens tillstånd till undersökning av barn
Tieteellinen tutkimus,Vetenskaplig forskning
Syrjivyys,Diskrimineringsbedömning
Toiminnan kaupallinen tai teollinen luonne,Verksamhet av kommersiell eller industriell karaktär
Elatustuki,Underhållsstöd
Henkilökohtainen tulo,Personlig inkomst
Sidosyksikkö,Anknuten enhet
Kunnaneläinlääkäri,Kommunalveterinär
Hoitoon määrääminen,Beslut om vård
Direktiivin vaikutus,Inverkan av direktiv
Luiska,Ramp
Kotieläintalouden suuryksikkö,Område för storenhet inom husdjursproduktionen
Yhtymän osakkaan vaihtuminen,Delägarbyte i sammanslutning
Työkomennus,Utsänd arbetstagare
Kiinteistövero,Fastighetsskatt
Henkilökohtainen tili,Personligt konto
Harhaanjohtavuus,Vilseledande
Taksinkuljettajan ajolupa,Körtillstånd för taxiförare
Hakijan terveydentila,Sökandens hälsotillstånd
Hallinto-oikeuden asiantuntijajäsen,Sakkunnigledamot i förvaltningsdomstolen
Katsastamaton ajoneuvo,Obesiktat fordon
Osoitteenmuutos- ja jakelunkeskeytyspalvelu,Tjänster vid adressförändring och önskat avbrott i utdelningen
Viran nimi,Tjänstebenämning
Tarkkailua koskevat lupamääräykset,Tillståndsvillkor om kontroll
Hankkeen kaavanmukaisuus,Byggprojekts överensstämmelse med planläggning
Haittojen vähentäminen,Minskning av olägenheter
Odotusajan merkitys,Betydelsen av väntetid
Lapsi,Barn
Erityinen syy,Särskilda skäl
Kuukausivuokra,Månadshyra
Verollinen myynti,Skattepliktig försäljning
Hyväksyttävät kustannukset,Godtagbara kostnader
Valtiovarainministeriön päätös,Finansministeriets beslut
Kansalaisuusmaa,Land där flyktingen är medborgare
Käyttöomaisuusosake,Aktie som anläggningstillgång
Valko-Venäjä,Vitryssland
Maksuunpano,Debitering
Virheellinen veroneuvonta,Felaktiga skatteråd
Hoito- ja palvelusuunnitelma sopimuksen liitteenä,Vård- och serviceplan som bilaga till avtalet
Toiminnan jatkuminen,Fortsatt verksamhet
Elvytys(reaktivointi)laitos,Reaktiveringsanläggning
Rakennusluvan edellytykset,Förutsättningar för bygglov
Enimmäisluovutushinta,Maximipris
Sukupuoli-identiteetin määrittely,Bedömning av könsidentitet
Muu erityinen syy,Annat särskilt skäl
Omaishoito,Närståendevård
Sijaisvanhempien läsnäolo,Fosterföräldrarnas närvaro
Siteet Suomeen,Band till Finland
Maksuton osakeanti yhtiölle itselleen,Vederlagsfri emission till bolaget
Välipäätös,Annat beslut än avgörande
Vähennysoikeuden jakaminen,Delning av avdragsrätten
Vaihto-opiskelu Norjassa,Utbytesstudier i Norge
Esiintymiskielto,Specificerat ärende
Opiskelun keskeyttäminen määräajaksi,Avbrytande av studier för viss tid
Syrjintäkielto,Diskrimineringsförbudet
Jätelaki,Avfallslagen
Viivästyksen hyvittäminen,Gottgörelse för dröjsmål
Ammattioppilaitos,Yrkesläroanstalt
Ajantasainen maatieto,Aktuell landinformation
Ympäristövaikutusten arviointimenettely,Lag om förfarandet vid miljökonsekvensbedömning
Natura 2000 -kohde,Natura 2000-objekt
Rakennuskiellon jatkaminen,Förlängning av byggförbud
Myrskyvahinko,Stormskada
Ulkomainen säätiö,Utländsk stiftelse
Ikääntymiseen liittyvä sairaus,Åldersrelaterad sjukdom
Ylioppilaskirjoitukset,Studentskrivningar
Huomattavan markkinavoiman yritykselle asetettavat velvoitteet,Skyldigheter för företag med betydande marknadsinflytande
Osakas,Delägare i aktiebolag
Uskonnolliset yhdyskunnat,Religiösa samfund
Ajan kuluminen,Betydelsen av tid som förflutit
FCP-rahasto,FCP-fond
Viimesijainen tuki,Stöd i sista hand
Yhteiskunnalliset etuudet,Samhällsförmåner
Puun myyntitulo,Inkomst av virkesförsäljning
Luonnonsuojelualuevaraus,Reservering för naturskyddsområde
Erityinen työntekemispaikka,Särskilt arbetsställe
Erityiset opetusjärjestelyt,Särskilda undervisningsarrangemang
Tarjoajan sulkeminen pois tarjousmenettelystä,Uteslutande av anbudsgivare från anbudsförfarande
Itsenäistyminen,Bli självständig
Palvelussuhteen ehtojen määräytyminen,Hur villkoren i ett tjänsteförhållande bestäms
Haitan toistuvuus,Upprepad olägenhet
Vedenhankinta,Vattenförsörjning
Painavat syyt luvan myöntämistä vastaan,Vägande skäl som talar mot beviljande av tillstånd
Kihlaussopimuksen rikkominen,Brutet trolovningskontrakt
Täytäntöönpanomääräys,Förordnande om verkställighet
Loman vietto kolmansissa maissa,Semester i ett tredje land
Yläkoulu,Högstadieskola
Kotimainen nimikäytäntö,Inhemskt namnskick
Sivuapteekkilupa,Tillstånd att inrätta filialapotek
Lietelannan levittäminen,Spridning av slamgödsel
Keksinnöllisyys,Uppfinningshöjd
Rekisterimerkinnän korjaaminen,Korrigering av registeranteckning
Etäisyys,Avstånd
Väärinkäsitys,Missförstånd
Korvauksen edellytykset,Villkor för skadeståndsansvar
Virheellinen järjestys,Oriktig ordning
Kilpailun säännöt,Tävlingsregler
Kiinteistöyhtiö,Fastighetsbolag
Rauhoituksen lakkauttaminen,Hävning av fridlysning
Valtion ydinjätehuoltorahasto,Statens kärnavfallshanteringsfond
Saarnaamistyön yhteydessä kerättävät henkilötiedot,Personuppgifter som samlas i predikoarbete
Nuoren viljelijän aloitustuki,Startstöd till unga jordbrukare
Maahantuonnin rahoittaminen,Importfinansiering
Liikunta- ja urheilupalvelut,Sport- och idrottstjänster
Vankiselli,Fångcell
Toimivalta huostaanottoa ja siihen liittyvää sijaishuoltoon sijoittamista koskevassa asiassa,Behörigheten i ett ärende som gäller omhändertagande och placering i vård utom hemmet
Direktiivilajien hävittämis- ja heikentämiskielto,Förbud att förstöra och försämra platser för djurarter
Kirkkoherran irtisanominen,Uppsägning av kyrkoherde
Vesihuolto,Vattenvård
Lesken omistusoikeus,Efterlevande makes äganderätt
Vähäinen poikkeaminen,Mindre undantag
Toimivaltainen viranomainen,Behörig myndighet
Menon vähennyskelpoisuus,Fråga om utgift är avdragsgill
Menon kohdistaminen,Allokering av utgifter
Arpajaisvoitto,Lotterivinst
Kääntämis- ja tulkitsemisvelvoite,Skyldighet att översätta och tolka
Kantelu,Klagan
Ohjeistus,Anvisningar
Rinnakkaisvalmiste,Parallellpreparat
Maisemavaikutukset,Konsekvenser för landskapet
Olosuhteiden merkittävä ja pysyvä muutos,Väsentlig och varaktig förändring av förhållandena
Valvontajärjestelmä,Övervakningssystem
Rakennuksen käyttöönotto,Ibruktagande av byggnad
Syrjimätön ehto,Icke-diskriminerande villkor
Lupamääräys,Tillståndsvillkor
Liiketoimintaa harjoittava yhteisö,Affärsdrivande samfund
Metsäkiinteistön myyntiin liittyvien kulujen vähennysoikeus,Rätt att dra av kostnader som hänför sig till försäljningen av en skogsfastighet
Valkohäntäpeura,Vitsvanshjort
Esitutkinta,Förundersökning
Julkisoikeudellinen saatava,Offentligrättslig fordran
Ennakkoratkaisu,Förhandsavgörande
Luvan epäämisen suhde maastapoistamispäätökseen,Förhållandet mellan avslag på tillståndet och beslutet om avlägsnande ur landet
Luonnonsuojelualueen perustaminen,Inrättande av naturskyddsområde
Kaavallisten edellytysten arviointi,Bedömning av förutsättningar som hänför sig till planläggning
ARA,ARA
Kaavoitettava alue,Område som skall planläggas
Vähittäismyyntipaikassa valmistaminen,Framställning på försäljningsplatsen
Kulutusluotto,Konsumtionskredit
Tasapainoinen lähestymistapa,God avvägning
Eläkkeellä oleva maanviljelijä,Pensionerad jordbrukare
Vaalipiirilautakunta,Valkretsnämnd
Lapsen sijoittaminen väliaikaisesti vanhempansa tai muun huoltajansa luokse,Tillfällig placering av barnet hos sin förälder eller annan vårdnadshavare
Lukiolainsäädäntö,Gymnasielagstiftning
Keikkalääkäri,Inhyrd läkare
Sopivuus taksinkuljettajaksi,Lämplighet som taxiförare
Erilliset osoitteet,Separata adresser
Työntekijöiden käytettävissä oleva tila,Lokaler som är tillgängliga för anställda
Työsuhde,Arbetsförhållande
Valitusajan alkaminen,Tidpunkt då besvärstiden börjar
Täyden valtakirjan omaisuudenhoito,Diskretionär kapitalförvaltning
Markkinaehtoinen veloitus,Marknadsbaserad prissättning
Kollektiivinen lisäeläketurva,Gruppensionsförsäkring
Ostolaskuun sisältyvä myyntimaan arvonlisävero,Försäljningslandets mervärdesskatt som ingår i köpfakturan
Käyttötarkoituksen muutos,Ändring av byggnads användningsändamål
Purkutappion vähennyskelpoisuus,Rätt till avdrag för förlust vid upplösning av bolag
Saatavien sijoittaminen apporttiomaisuutena,Investera fordringar som apportegendom
Kunnallisvaalit,Kommunalval
Jälkiverotuksen toimittamatta jättäminen,Avstående från efterbeskattning
Ulkoilureitti,Friluftsliv
Omaisuuden luovutusvoitto,Vinst vid överlåtelse av egendom
Tosiasiallinen este oikeuden saavuttamiselle muutoksenhaun avulla,Faktiskt hinder att uppnå rättsskydd genom sökande av ändring
Naken in naken ut,Naken in naken ut
Suomen Akatemian harjututkimus,Finlands Akademis underökning om åsarnas tillstånd
Taloudelliset laskelmat,Ekonomiska kalkyler
Fyysinen postilokero,Fysisk postbox
Ahvenanmaan kansallisuussuoja,Nationalitetsskydd
Ympäristön pilaantumisen vaaraa aiheuttava toiminta,Verksamhet som medför risk för förorening av miljön
Osinkotulojen verotus ns. kolmansista maista,Beskattning av aktieinkomster från så kallat tredjeland
Swift-palvelu,Swifttjänster
Toimivalta,Kompetens
Asiakaskäynnit,Kundbesök
Kalliokiviaineksen murskaus,Stenkrossning
Käyttölupa,Tillstånd att dra av förluster
Elinkeinotulon verotus,Beskattning av näringsinkomst
Vapaa-ajan asunto,Fritidsbostad
Jätteen määrä ja laatu,Avfallets mängd och beskaffenhet
Päätöksen peruuttaminen,Återkallande av beslut
Tarkkailusuunnitelma,Kontrollplan
Lunastusperusteet,Inlösningsgrunder
Korvaus vahingosta,Skadestånd
Ruotsinkielinen väestö,Svenskspråkig befolkning
Metsästyslaki,Jaktlagen
Vakuutuslaitokselta perittävä täyskustannusmaksu,Avgift för full kostnadsersättning som drivs in av försäkringsanstalt
Virkaikä,Anciennitet (tjänsteålder)
Verkkojen silmäkokorajoitus,Begränsning av maskvidden i nät
Käyttöomaisuusosake,Anläggningstillgångsaktie
Asian selvittäminen,Utredning av ärendet
Määräys ympäristön pilaantumisen ehkäisemiseksi,Tillståndsvillkor om förhindrande av förorening
Perheside,Familjeband
Määräaika oikaisun tekemiselle,Frist inom vilken rättelse är möjlig
Lailla sääntelemätön tilanne,Situation som inte regleras av lag
Joukkoliikenneratkaisu,Kollektivtrafikbeslut
Vallintarajoitus,Rådighetsbegränsning
Olosuhteiden muuttuminen,Förändrade förhållanden
Elämäntapa tai käyttäytyminen,Levnadssätt eller uppförande
Velvoitteen kohdistaminen,Föreläggande
Hallinto-oikeuden päätöksen purkaminen,Återbrytande av förvaltningsdomstols beslut
Sopimusrikkomus,Avtalsbrott
Sijoitusrahasto-osuus,Placeringsfondandel
Iskulause,Slogan
Asemakaavan tarve,Behovet av detaljplan
Henkilökohtainen apu,Personlig assistens
Tiedon luovutustapa,Sätt för utlämning av uppgifter
Tietosuoja,Dataskydd
Virkavelvollisuuksien rikkominen,Brott mot tjänsteplikt
Rajoitusperuste,Inskränkningsgrund
Kiinteistöyhteisö,Fastighetssammanslutning
Läpinäkyvyys,Genomskinlighet
Hevostaloustoiminta,Hästhushållning
Virkatodistuksen merkintä ”Lappi”,"Anteckning ""Lappi"" i ett ämbetsbevis"
Malmin lentoasema,Malm flygstation
Maahanmuuttaja,Invandrare
Liike-toiminnan lopettaminen,Avslutande av rörelse
Kaavamääräys,Bestämmelse i en plan
Valituskelpoisuus,Överklagbarhet
Sairausetuus,Förmån vid sjukdom
Pääoma,Kapital
Tuen määrää koskeva tieto,Uppgifter om stödbelopp
Rangaistuksen luonteinen maksu,Avgift med karaktär av straff
Käännetty verovelvollisuus rakennusalalla,Omvänd skattskyldighet i byggbranschen
Terveydensuojelulaki,Hälsoskyddslagen
Kasvintuhoojan torjunta,Åtgärder för att bekämpa skadegörare
Omistusoikeus,Äganderätt
Oikeudenkäyntikulujen korvaaminen,Ersättning av rättegångskostnader
Soveltuvuustesti,Lämplighetsprov
Yhteispalvelupiste,Samservicekontor
Luvan saaneen toiminnan päästöjä tai niiden vaikutuksia lisäävä toiminnan muutos,Omläggning av verksamhet för vilken beviljats tillstånd  när omläggningen ökar utsläppen från verksamheten och deras effekter
Taksilupa,Taxitillstånd
Maahantulosäännösten kiertäminen,Kringgå bestämmelserna om inresa
Uhkasakon tuomitseminen,Utdömande av vite
Uusi omistaja,Ny ägare
Lisäeläkevakuutusmaksu,Tilläggsförsäkringspremie
Muu painava syy,Annat vägande skäl
Kaupintapalvelu,Konsignation
Asemakaavallisen tarkastelun tarve,Behov av detaljplanering
Kiellot ja määräykset,Förbud och föreskrifter
Kalastussääntö,Fiskeristadga
Uutuus,Nyhet
Kunnan ympäristönsuojelumääräys,Kommunala miljöskyddsföreskrifter
Hallintoriitahakemus,Förvaltningstvist
Asemakaava-alueen sijoittuminen oikeusvaikutteisen yleiskaavan alueelle,Ett detaljplanområde på ett område där det finns en generalplan med rättsverkningar
Maa- ja metsätalouden kasviperäinen jäte,Vegetabiliskt avfall från jord- och skogsbruk
Ranta-asemakaavan sisältövaatimukset,Kraven på innehållet i en stranddetaljplan
Yhdenvertaisuus emäkiinteistön sisällä,Jämlikt bemötande inom ramen för moderfastighet
Tarkkarajaisuus,Noggrann avgränsning
Yksityisalue,Privatområde
Saksasta hankitut tuotteet,Varor anskaffade i Tyskland
Pilkkiminen,Pilfiske
Korvauksen epääminen määräajalta,Annullering av ersättning för viss tid
Sähköisen yhteystiedon puuttuminen,Avsaknad av kontaktuppgifter för elektronisk kommunikation
Alihinta,Underpris
Maksuton kuljetus,Fri transport
Hakemuksen tekeminen markkinaoikeudelle sopimuksen tekemisen jälkeen,Ansökan till marknadsdomstolen efter att kontrakt slutits
Aluehallintovirasto,Regionförvaltningsverk
Ilma-alus,Luftfartyg
Varavaltuutettu,Ersättare i fullmäktige
Kunnanhallituksen valitusoikeus,Kommunstyrelses besvärsrätt
Kaksi valitusosoitusta,Två besvärsanvisningar
Osakkeiden hankintameno,Anskaffningsutgift för aktierna
Opiskelijaravintola,Studentrestaurang
Kielitaitoedellytys,Språkkunskapsvillkor 
Jaksotus,Periodisering
Ilmeinen virhe,Uppenbart fel
Maahantulosäännösten kiertäminen,Kringgående av bestämmelser om inresa
Hankintayksikön virheellinen menettely,Den upphandlande enhetens felaktiga förfarande
Salassa pidettävät asiakirjat,Sekretessbelagda handlingar
Terroristijärjestö,Terroristorganisation
Hallinnon oikeusperiaatteet,Förvaltningens rättsprinciper
Suhde ympäristönsuojelulainsäädäntöön,Förhållande till miljöskyddslagstiftningen
Määräysvalta,Bestämmandeinflytande
Veronalainen tulo,Skattepliktig inkomst
Avustajanmääräyksen jatkaminen,Fortsatt förordnande för biträdet
Määräaikainen ajokielto,Körförbud för viss tid
Luontotyyppi,Naturtyp
Taseen purkaminen,Upplösning av balansräkning
Poliisi,Polisen
Erityishuolto-ohjelma,Specialomsorgsprogram
Arava-asia,Arava-ärende
Lähdeveron palautus,Återbäring av källskatt
Allekirjoitus ilman päiväystä,Odaterad underskrift
Hallinnon oikeusperiaatteet,Rättsprinciperna inom förvaltningen
Perusopetuslaki,Lagen om grundläggande utbildning
Tilintarkastajan valinta,Val av revisor
Etäisyys häiriintyviin kohteisiin,Avstånd till plats som exponeras för störningar
Valtion virkamies,Statstjänsteman
Kansallisen viranomaisen toimivalta,Nationell myndighets behörighet
Metsätalous,Skogsbruk
Hydrologisen yhteyden katkaiseminen,Stänga den hydrologiska förbindelsen
Kulujen kohdistaminen,Allokering av kostnader
Hoitomenetelmä,Vårdmetod
Kotimaan hintahavainnot,Iakttagelser om inhemska priser
Urheilukalastajien etuja valvova järjestö,Organisationer för tillvaratagande av fritidsfiskarnas intressen
Lomarakennus,Semesterbyggnad
Kirkollisasia,Kyrkoärende
Vapaa-ajan asunnon myynti,Försäljning av fritidsbostad
Kansalaisuusvaltio,Stat där sökanden är medborgare
Omaisuuden siirtäminen tulolähteestä toiseen,Överföring av egendom från en inkomstkälla till en annan
Ajoneuvon väliaikainen veroton käyttö Suomessa,Tillfällig skattefri användning av fordon
Kaivannaisjäte,Utvinningsavfall
Kattomuoto,Takform
Oleskelulupa yksilöllisestä inhimillisestä syystä,Uppehållstillstånd av indiviuella mänskliga orsaker
Viestintämarkkinalaki,Kommunikationsmarknadslag
Veroton käyttö,Skattefritt bruk
Määräyksen soveltamisala,Föreskrifts tillämpningsområde
EU-maassa sijaitsevan kiinteistön luovutustappio,Förlust för överlåtelse av en fastighet som är belägen i en stat som hör till Europeiska unionen
Lentoliikenneasia,Flygtrafikärende
Kolmiulotteinen hallinnanjako,Tredimensionellt delad besittning
Vanhemman kansalaisuus,Förälders medborgarskap
Edustuskulut,Representationsutgifter
Määräaika,Tidsfrist
Luvanvaraisuus,Tillståndsplikt
Luonnonsuojelulain 65 §:ssä säädetyn arvioinnin tarve,Behov av bedömning som föreskrivs i 65 § i naturskyddslagen
Aluksessa käytettävä polttoaine,Fartygsbränsle
Vakuutuspalvelu,Försäkringsbranschen
Verovelka,Skatteskuld
Tavanomainen mainoslahja,Sedvanlig reklamgåva
Kulttuuri-itsehallinto,Kulturell autonomi
Maa-ainesten ottaminen,Marktäkt
Lupahakemusten yhteiskäsittely,Gemensam handläggning av tillståndsansökningar
Konkurssisaatava,Fordran i konkurs
Kalastuksenhoitomaksu,Fiskevårdsavgift
Sähköinen alusta,Elektronisk plattform
Luovuttamispäätös,Beslut om utlämning
Moottoritien rakentaminen,Motorvägsbygge
Puoluetunnus,Partisymbol
Väestötietomerkintä,Anteckning i befolkningsdatasystemet
Vesiliikenteen rajoittaminen,Begränsning av sjötrafik
Direktiivi 69/335/ETY,Direktivet 69/335/EEG
Vuokratulon hankkimisesta aiheutuneet menot,Utgifter för förvärvande av hyresinkomst
Vapaaehtoista ex ante -avoimuutta koskeva ilmoitus,Meddelande om frivillig förhandsinsyn
Lunastustoimituksen hakeminen,Ansökan om inlösningsförrättning
Oja ,Dike
Luovutus muuhun kuin liiketoiminnan tarkoitukseen,Överlåtelse för ett ändamål som inte är rörelsemässigt
Suomessa asuva henkilö,I Finland bosatt person
Julkisuuslain soveltamisala,Tillämpning av offentlighetslagen
Purkuhakemus uuden selvityksen perusteella,Begäran om återbrytande på grund av ny utredning
Aiemmin lainvoimaisesti ratkaistu asia,Tidigare med ett laga kraft vunnet avgörande avgjort ärende
Korotus,Förhöjning
A.TR.-tavaratodistus,A.TR.-varucertifikat
Toimialue koko maa,Verksamhetsområde som omfattar hela landet
Laituri,Brygga
Kunnan jäsen oikaisuvaatimuksen tekijänä,Kommunmedlem som framställare av rättelseyrkande
Syrjinnän kielto,Förbud mot diskriminering
Opetustoimi,Undervisning
On-line-sanomalehti,On-line-tidning
Poikkeus suden rauhoitusajasta,Undantag från fredningstiden för varg
Ympäristövaikutusten arviointimenettely,Miljökonsekvensbedömning
Katselmus,Syn
Aikaisemmilta vuosilta vahvistettu tappio,Fastställd förlust för tidigare år
Oikeusperuste,Rättsgrund
Kalatalousvelvoite,Grundlagen
Kuntayhtymän toimiala,Samkommunens behörighetsområde
Puolustautumisoikeudet,Rätten till försvar
Nuhteettomuusedellytys,Oförvitlighetsvillkor
Selvitysten riittämättömyys,Otillräcklig utredning
EU-oikeus,EU-rätt
Omaishoitajan lakisääteinen hoitovapaa,Närståendevårdares lagstadgade ledighet från vården
Selvä ero,Tydlig skillnad
Yritystoiminnan jatkaminen,Fortsättning av företagsverksamhet
Vesivoiman käyttöoikeus,Nyttjanderätt till vattenkraft
Jätevesien purkupaikan tilapäinen muuttaminen,Tillfällig ändring av utsläppsplats för avloppsvatten
Korvaava rakentaminen,Ersättande byggande
Luontoarvojen merkittävä heikentäminen,Betydlig försämring av naturvärden
Muu kuin lähikoulu,Annan än närskola
Menettelyvirhe,Fel i förfarande
"Rantakaava, joka on voimassa maankäyttö- ja rakennuslain mukaisena ranta-asemakaavana",Strandplan som gäller som en stranddetaljplan enligt markanvändnings- och bygglagen
Elantomeno,Levnadskostnad
Nosturi,Lyftkran
Kieltäytyminen kansainvälisen tavaramerkin hyväksymisestä,Vägran att godkänna internationellt varumärke
Rekisteröity laiton maahantulo Kreikassa,Registrerad olaglig inresa till Grekland
Tukehtumisvaara,Kvävningsrisk
Lakia alemmanasteisten säädösten soveltamisrajoitus,Begränsning av rätten att tillämpa författningar på lägre nivå än lag
Sosiaalihuolto,Socialvård
Maanrakennusala,Schaktningsbranschen
Rakennerahasto,Strukturfond
Tuotteen jakelija,Produktdistributör
Puitejärjestely,Ramavtal
Vammaispalvelu,Handikappservice (service åt funktionshindrad)
Jälkihoitovelvoite,Efterbehandlingsskyldighet
Työntekijän kuolema,Arbetstagares död
Uusi työsuhde,Nytt arbetsförhållande
Liiketoiminnan lopettaminen,Avslutande av affärsverksamhet
Yhdyskunta,Samhälle
Julkisuusperiaatteen toteutuminen,Tillgodoseende av myndighetsprincipen
Tosiseikkojen tutkinta ajantasaisesti,Tidsenlig bedömning av fakta
Luonnonarvojen vaaliminen,Att värna naturvärden
Lisärakennusoikeus,Ytterligare byggrätt
Ampuma-ase,Skjutvapen
Tuonti Turkista,Import från Turkiet
Trafi,Trafi
Käyttöomaisuus,Anläggningstillgångar
1E-luokan pohjavesialue,Klass 1E grundvattenområde
Valtuuston työjärjestys,Fullmäktiges arbetsordning
Albania,Albanien
Oikeudenkäynnin julkisuus,Offentlighet vid rättegång
Kiinteistöinvestointia koskevan vähennyksen tarkistaminen,Justering av avdrag som gäller fastighetsinvestering
Yksityinen päivähoito,Privat barndagvård
Työntekijän irtisanominen,Uppsägning av arbetstagare
Tarjoajan valinta,Val av anbudsgivare
Muu kuin tuomioistuinasia,Annat än domstolsärende
Venepaikkavuokra,Hyra för båtplats
Erittäin tärkeän yleisen edun kannalta pakottava syy,Tvingande orsak som har ett viktigt allmänintresse
Viranomaisen passiviteetti,Myndighetens passivitet
Kustannusten jakautuminen kuntien välillä,Fördelning av kostnader mellan kommuner
Veronkierto,Kringgående av skatt
Toimialaliitto,Branschförbund
Valintakoevastaus,Provsvar
Kunnan järjestämisvelvollisuus,Kommunens skyldighet att ordna med hjälpmedel
Palvelun myyntimaa,Land där tjänsten överlåts
Tuottajan oikeus,Producentens rätt
Menettelyvirhe,Formfel
Pakkohuutokauppa,Exekutiv försäljning
Maankäyttö- ja rakennuslaki,Markanvändnings- och bygglagen
