text_fi,text_sv
"Ulkomaalaisvirasto, jonka toimialueena on koko maa, oli hylännyt Vaasasta olevan ulkomaalaisen (A) hakemuksen oleskeluluvan myöntämisestä ulkomailla oleville henkilöille perhesiteen perusteella.","Utlänningsverket, vars verksamhetsområde omfattar hela landet, hade avslagit en ansökan om uppehållstillstånd som en utlänning (A) från Vasa hade ställt på grund av familjeband för personer som befann sig utomlands."
Vaasan hallinto-oikeus on hylännyt A:n valituksen ulkomaalaisviraston päätöksestä.,Vasa förvaltningsdomstol hade förkastat A:s besvär över utlänningsverkets beslut.
A on pyytänyt korkeimmalta hallinto-oikeudelta lupaa valittaa hallinto-oikeuden päätöksestä.,A hade ansökt om tillstånd att överklaga förvaltningsdomstolens beslut hos högsta förvaltningsdomstolen.
Korkein hallinto-oikeus myönsi valitusluvan.,Högsta förvaltningsdomstolen beviljade besvärstillståndet.
"Ulkomaalaisviraston päätöksen katsottiin kohdistuvan ja liittyvän pääosin sellaisiin ulkomaalaisiin, joilla ei ollut Suomessa kotikuntalaissa (201/1994) tarkoitettua kotikuntaa.",Utlänningsverkets beslut ansågs avse eller gälla huvudsakligen sådana utlänningar som inte hade hemkommun i Finland enligt lagen om hemkommun (201/1994).
"Koska asiassa ei niin ollen ollut hallintolainkäyttölain 12 §:n 1 tai 2 momentin perusteella toimivaltaista hallinto-oikeutta, valitus ulkomaalaisviraston päätöksestä olisi mainitun pykälän 3 momentin mukaisesti tullut tehdä Helsingin hallinto-oikeudelle.","Eftersom det således inte fanns någon förvaltningsdomstol som med stöd av 12 § 1 eller 2 mom. förvaltningsprocesslagen var behörig i saken, skulle besvär över utlänningsverkets beslut enligt 3 mom. i nämnda paragraf ha anförts hos Helsingfors förvaltningsdomstol."
Vaasan hallinto-oikeuden ei siten olisi tullut tutkia A:n valitusta.,Vasa förvaltningsdomstol borde därför inte ha prövat A:s besvär.
Sen vuoksi ja ottaen huomioon myös hallintolainkäyttölain 30 §:n säännökset A:n valitus siirrettiin Helsingin hallinto-oikeudelle.,På den grunden och med beaktande av bestämmelserna i 30 § förvaltningsprocesslagen överfördes A:s besvär till Helsingfors förvaltningsdomstol.
"Hallinto-oikeuden jäsenet eivät olleet toimeentulotuen myöntämistä koskevassa asiassa esteellisiä sillä perusteella, että he olivat aiemmin osallistuneet hallinto-oikeudessa samaa valittajaa koskevan toimeentulotukiasian käsittelyyn.",I ett ärende som gällde beviljande av utkomststöd var förvaltningsdomstolens ledamöter inte jäviga på den grunden att de tidigare hade deltagit i behandlingen vid förvaltningsdomstolen av ett ärende om utkomststöd som gällde samma ändringssökande.
"Hallinto-oikeuden jäsenet eivät olleet toimeentulotuen myöntämistä koskevassa asiassa esteellisiä silläkään perusteella, että valittaja ilmoitti  tekevänsä heistä rikosilmoituksen.",Förvaltningsdomstolens ledamöter var inte heller jäviga i ärendet som gällde beviljande av utkomststödet på den grunden att ändringssökanden hade tillkännagett sin avsikt att polisanmäla dem.
Sama koski hallinto-oikeuden esittelijää.,Detsamma gällde förvaltningsdomstolens föredragande.
Kaksi tavarankuljetusta harjoittanutta kuorma-autoilijaa perustivat osakeyhtiön jatkamaan heidän kummankinerikseen toiminimellä aikaisemmin harjoittamaa toimintaa ja merkitsivät kumpikin puolet yhtiön osakkeista.,"Två åkare, som bedrev varutransporter med lastbil, grundade ett aktiebolag för att fortsätta samma verksamhet som de tidigare hade bedrivit var för sig under egen firma, och tecknade hälften var av bolagets aktier."
Kumpikin siirsi elinkeinonharjoittamiseensakuuluneet varat ja velat osakeyhtiöön kirjanpitoarvoistaan.,Båda överförde tillgångarna och skulderna från sin tidigare näringsverksamhet på aktiebolaget till bokföringsvärdet.
"Matkaviestinpalveluja tarjoava A Oy oli suunnitellut aloittavansa uuden markkinointikampanjan, jonka tarkoituksena oli A Oy:n liittymäsopimusten lisääminen.","A Ab, som säljer mobilteletjänster, hade planerat en ny marknadsföringskampanj som hade till syfte att öka antalet anslutningsavtal."
Kampanjan aikana A Oy:n yksityisasiakkaat saivat 200 markalla ilmaista puheaikaa jokaisesta A Oy:lle tuomastaan uudesta liittymäasiakkaasta.,Under kampanjen fick A Ab:s privatkunder gratis samtalstid till ett värde av 200 mark för varje ny abonnent som de hade värvat åt A Ab.
"Euroopan yhteisöjen tuomioistuimen oikeuskäytännön perusteella ilmaisen puheajan luovutusta vanhalle asiakkaalle uuden asiakkaan hankintapalkkiona ei voitu pitää palvelun ottamisena omaan käyttöön vaan myyntiin rinnastettavana tilanteena, jossa ilmainen puheaika luovutettiin vanhalle asiakkaalle vastikkeena uuden asiakkaan hankkimisesta muodostuvasta palvelusuorituksesta.","Överlåtelse av gratis samtalstid till en gammal kund som provision för att ha värvat en ny kund kunde inte enligt rättspraxis vid Europeiska gemenskapernas domstol betraktas som en tjänst som tas i eget bruk, utan som en med försäljning jämförbar situation där gratis samtalstid överlåts till en gammal kund som vederlag för en tjänst som utgörs av att värva en ny kund."
"Koska ilmaisen puheajan luovutuksessa oli näin ollen kysymys vaihdon luonteisesta suorituksesta, A Oy:n oli, kun kysymys ei ollut arvonlisäverolain 25 §:ssä tarkoitetusta tavaranäytteestä tai tavanomaisesta mainoslahjasta eikä lain 78 §:ssä tarkoitetusta myynnin oikaisuerästä, suoritettava arvonlisäveroa ilmaisen puheajan luovutuksesta arvonlisäverolain palvelun myyntiä koskevien säännösten mukaan.","Eftersom det i överlåtelsen av gratis samtalstid således var fråga om en tjänst som kan likställas med byte, och eftersom det inte var fråga om varuprov eller sedvanlig reklamgåva enligt 25 § mervärdesskattelagen och inte heller om en rättelsepost som hänför sig till försäljning enligt lagens 78 §, skulle A Ab betala mervärdesskatt på överlåtelsen av gratis samtalstid i enlighet med bestämmelserna om försäljning av tjänster i mervärdesskattelagen."
"Superpesis-sarjassa pesäpalloa pelaava seura oli maksanut 6 pelaajalle pelaajapalkkioita, joiden vuotuiset määrät olivat vaihdelleet vuosina 1995-1997 60 000 markasta 185 796 markkaan.",En förening som spelar boboll i Superpesis-serien hade betalat spelararvoden till 6 spelare i form av ett årsbelopp som varierade mellan 60 000 och 185 796 mark åren 1995-1997.
Seura oli maksanut pelaajille myös asunnon ja säännöllisten harjoittelupaikkojen sekä kotipelipaikan välisistä matkoista matkakustannusten korvausta.,Föreningen hade också betalat spelarna kostnadsersättningar för resor mellan bostaden och de fasta träningsplatserna och platsen där deras hemmamatcher spelades.
Kyseisiä pelaajia pidettiin päätoimisina pelaajina ja seuran säännöllisiä harjoittelupaikkoja ja kotiottelupaikkaa heidän varsinaisina työpaikkoinaan.,Spelarna betraktades som spelare på heltid och föreningens fasta träningsplatser och spelplatsen för hemmamatcherna som deras egentliga arbetsplatser.
"Tämän vuoksi seura ei ollut voinut korvata heille asunnon ja mainittujen paikkojen välisten matkojen kustannuksia ennakonpidätystä toimittamatta, vaan kysymys oli ennakkoperintälain (418/1959) 4 §:ssä ja ennakkoperintälain (1118/1996) 13 §:ssä tarkoitetusta palkasta.","Därför kunde föreningen inte ersätta deras kostnader för resorna mellan bostaden och de nämnda platserna utan att verkställa förskottsinnehållning, utan det var fråga om lön enligt 4 § lagen om förskottsuppbörd (418/1959) och 13 § lagen om förskottsuppbörd (1118/1996)."
Verovuodet 1995-1997.,Skatteåren 1995-1997.
"Sikala oli laajuudeltaan lähellä ympäristövaikutusten arviointimenettelystä annetun asetuksen 6 §:n 1 c kohdassa asetettua 900 emakon rajaa, jonka perusteella yksittäinen sikala edellytti arviointimenettelyä ympäristövaikutusten arviointimenettelystä annetun lain 4 §:n 1 momentin mukaisesti.",Svingårdens storlek låg nära den gräns på 900 suggor som enligt 6 § 1 c punkten förordningen om förfarandet vid miljökonsekvensbedömning var förutsättning för att bedömningsförfarandet skulle tillämpas på en enskild svingård enligt 4 § 1 mom. lagen om förfarandet vid miljökonsekvensbedömning.
Lisäksi hankkeiden yhteisvaikutukset oli lain 4 §:n 2 momentin nojalla otettava huomioon momentissa tarkoitetulla tavalla.,Ytterligare skulle samverkan av projekten beaktas med stöd av lagens 4 § 2 mom. på det sätt som momentet förutsätter.
Suurten nykyaikaisten sikaloiden ympäristövaikutuksista ei Suomessa vielä ollut sanottavasti kokemuksia.,Det fanns ännu inte några nämnvärda erfarenheter i Finland av miljökonsekvenserna från stora moderna svingårdar.
Näistä syistä asiassa olisi ollut perusteet edellyttää ympäristövaikutusten arviointimenettelyä ympäristövaikutusten arviointimenettelystä annetun lain 4 §:n 2 momentin nojalla.,På dessa grunder hade det funnits skäl att i detta fall kräva miljökonsekvensbedömningsförfarande med stöd av 4 § 2 mom. lagen om förfarandet vid miljökonsekvensbedömning.
Ympäristövaikutusten arviointimenettelystä annetun lain 6 ja 19 §:n säännökset huomioon ottaen korkeimmalla hallinto-oikeudella ei kuitenkaan ollut toimivaltaa puuttua ympäristöministeriön tekemään arviointimenettelyn soveltamatta jättämistä tarkoittavaan ratkaisuun.,Med beaktande av bestämmelserna i 6 och 19 § lagen om förfarandet vid miljökonsekvensbedömning var högsta förvaltningsdomstolen emellertid inte behörig att ingripa i miljöministeriets avgörande om att konsekvensbedömning inte skulle tillämpas.
Ympäristölupaa ei siten arviointimenettelyn puuttumisen perusteella voitu kumota.,Miljötillståndet kunde därför inte upphävas på den grunden att konsekvensbedömning saknades.
"Sikalan toiminnanharjoittajana oli osakeyhtiö, joka ei itse omistanut tai hallinnut peltoja, vaan toiminnassa syntyvä lanta levitettiin sopimuspelloille, joiden omistaja sitoutui määräajaksi ottamaan vastaan lietelantaa pelloille levitettäväksi.","Verksamheten på svingården drevs av ett aktiebolag som varken ägde eller innehade åkrarna, utan gödseln som uppstod i verksamheten spreds på avtalsåkrar, vars ägare hade förbundit sig att för viss tid ta emot flytgödsel för spridning på åkrarna."
"Suunnitelmaan ei sisältynyt sellaista lannanlevitystä sikalan lähialueella, joka olisi toimintakokonaisuuden osana otettava huomioon sikalatoiminnan aiheuttamaa hajuhaittaa tai muuta ympäristövaikutusta arvioitaessa.",Planen omfattade inte en sådan gödselspridning på områden nära svingården som vid bedömningen av luktolägenheter eller andra miljökonsekvenser av svingårdens verksamhet skulle beaktas som en del av verksamhetshelheten.
Suunnitelman mukainen lannan levittäminen ei kaikki edellä mainitut seikat huomioon ottaen miltään osin muodostanut ympäristönsuojeluasetuksen 2 §:ssä tarkoitettua toimintakokonaisuutta itse sikalatoiminnan kanssa eikä sitä näin ollen ollut tarpeen sisällyttää luvanvaraisena osatoimintona sikalan ympäristölupaan.,"Med beaktande av alla ovan nämnda fakta utgjorde den planenliga gödselspridningen inte till någon del en verksamhetshelhet enligt 2 § miljöskyddsförordningen med själva svingårdens verksamhet, och därför fanns det inte skäl att inbegripa den i svingårdens miljötillstånd som en tillståndspliktig delfunktion."
Sopimuspeltojen omistajat tai haltijat eivät voineet olla lupamääräysten välittömänä kohteena.,Avtalsåkrarnas ägare eller innehavare kunde inte direkt vara föremål för tillståndsvillkor.
Luvan saajalle voitiin kuitenkin jätteitä ja jätehuoltoa koskevien ympäristönsuojelulain 43 §:n 1 momentin 2 kohdan ja 45 §:n nojalla asettaa tarpeelliset lantaa koskevat määräykset.,"Tillståndshavaren kunde likväl underställas behövliga villkor i fråga om gödsel med stöd av 43 § 1 mom. 2 punkten och 45 § miljöskyddslagen, som gäller avfall och avfallshantering."
"Lupaan voitiin siten, kun otettiin muun ohella huomioon jätelain 15 §, toimintakokonaisuudesta riippumatta sisällyttää määräys levityssuunnitelman esittämisestä ympäristökeskukselle.",Med beaktande av bland annat 15 § avfallslagen kunde tillståndet därför oberoende av verksamhetshelheten förenas med en bestämmelse om att lämna en spridningsplan till miljöcentralen.
Suunnitelman yhteydessä ympäristökeskukselle oli toimitettava jäljennökset lannan vastaanottosopimuksista.,Tillsammans med planen skulle kopior av avtalen för mottagande av gödsel lämnas till miljöcentralen.
